Region,2016
Total,2813.00
Asia,1803.70
"Korea, D.P. Rep.",21.00
India,80.00
Indonesia,63.40
Japan,259.00
Malaysia,116.50
Mongolia,158.10
Philippines,113.60
Singapore,92.50
Republic of Korea,477.50
Thailand,75.30
Africa,58.90
Europe,547.20
United Kingdom,59.50
Germany,62.50
France,50.40
Italy,26.70
Netherlands,20.00
Portugal,5.50
Sweden,11.50
Switzerland,7.30
Russia,197.70
Latin America,39.00
North America,299.10
Canada,74.10
United States,226.00
Oceanic and Pacific Islands,82.60
Australia,67.70
New Zealand,13.60
