Region,Visitors number
Asia,1803.7
"Korea, D.P. Rep.",21
India,80
Indonesia,63.4
Japan,259
Malaysia,116.5
Mongolia,158.1
Philippines,113.6
Singapore,92.5
Republic of Korea,477.5
Thailand,75.3
Africa,58.9
Europe,547.2
United Kingdom,59.5
Germany,62.5
France,50.4
Italy,26.7
Netherlands,20
Portugal,5.5
Sweden,11.5
Switzerland,7.3
Russian Federation,197.7
Latin America,39
North America,299.1
Canada,74.1
United States,226
Oceanic and Pacific Islands,82.6
Australia,67.7
New Zealand,13.6
