Year,2021,2021,2021
By nationality(2),Total,Male,Female
Total,90150,32854,17325
China,11691,4428,2428
Japan,1007,509,350
Taiwan,290,81,78
Hong Kong,113,42,56
MACAU,6,4,2
Philippines,11141,3390,140
Indonesia,5066,2332,178
Thailand,804,329,294
Vietnam,3751,1441,1705
India,2459,1159,189
Malaysia,451,136,95
Singapore,3676,1558,1780
Mongolia,1268,632,636
Uzbekistan,923,685,220
Myanmar,5669,2105,103
GCC,356,161,107
Kazakhstan,265,69,101
Turkey,415,74,28
CAMBODIA,580,399,181
Sri Lanka,600,428,24
Bangladesh,596,379,66
Pakistan,283,222,34
Israel,90,67,11
Iran,43,22,20
Asia(Others),1848,1582,212
USA,16805,5054,4663
Canada,3985,686,654
Brazil,154,39,47
Mexico,230,29,49
Americas(Others),205,77,52
Russia,3040,805,659
United Kingdom,889,393,230
Germany,1822,434,166
France,1236,346,210
Itary,286,116,34
Netherlands,936,104,48
Ukraine,1096,314,46
Spain,203,81,51
Romania,360,145,16
Norway,59,34,15
Sweden,131,70,37
Poland,293,60,16
Switzerland,98,53,29
Portugal,72,18,8
Austria,115,33,12
Finland,258,24,11
Belgium,160,44,20
Croatia,164,80,4
Greece,430,215,16
Bulgaria,156,28,4
Denmark,107,58,10
Ireland,91,39,16
Europe other,555,115,76
Sub Summary,923,390,372
Australia,683,304,304
New Zealand,234,86,65
Ocean(Others),6,0,3
South Africa Union,103,32,41
Africa(Others),749,246,85
Stateless,6,5,1
Overseas Korean,1042,453,589
